"","genus","max.stage","min.stage","GCD","LatRange","LongRange","Extinct","Stage","Regime","phylum","class","order","family"
"33","Apatognathus","Ladinian","Ladinian",79.947497485671,0.37505464,0.627142660000001,1,"Ladinian","background","Chordata","Conodonta","Prioniodontida",NA
"34","Aplococeras","Ladinian","Ladinian",1091.79950082831,7.79667603,7.50644029658824,1,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Aplococeratidae"
"35","Aplocoma","Ladinian","Aalenian",NA,NA,NA,0,"Ladinian","background","Echinodermata","Ophiuroidea","Ophiurida","Ophiolepididae"
"36","Arca","Ladinian","Pliensbachian",NA,NA,NA,0,"Ladinian","background","Mollusca","Bivalvia","Arcida","Arcidae"
"37","Arcestes","Ladinian","Rhaetian",8129.27953789715,63.3725929151458,62.05478728875,0,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Arcestidae"
"38","Archaeosemionotus","Ladinian","Ladinian",762.036019915744,3.39715731742268,6.18661130701031,1,"Ladinian","background","Chordata","Actinopteri","Ionoscopiformes","Furidae"
"39","Arcticopora","Ladinian","Rhaetian",NA,NA,NA,0,"Ladinian","background","Bryozoa","Stenolaemata","Trepostomida","Stenoporidae"
"40","Arctogymnites","Ladinian","Ladinian",1579.30697618817,10.5194230876404,73.2851421209888,1,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Ceratitidae"
"41","Arctoptychites","Ladinian","Ladinian",5083.1439787105,43.6417448669072,66.6319931248866,1,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Ptychitidae"
"42","Arenorbis","Ladinian","Ladinian",288.135105252735,2.44593524101695,0.448404163220339,1,"Ladinian","background","Echinodermata","Ophiuroidea","Ophiurida","Aplocomidae"
"43","Argolites","Ladinian","Ladinian",324.944961395251,2.43848341077778,1.66568420177778,1,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Trachyceratidae"
"44","Aristerostrophia","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Mollusca","Gastropoda","Murchisoniina","Zygopleuridae"
"45","Aristoptychites","Ladinian","Ladinian",7038.07569098813,38.1081531766667,75.5997455020267,1,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Ptychitidae"
"46","Arpadites","Ladinian","Carnian",7561.41264476117,15.46556499044,68.4868751015,0,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Trachyceratidae"
"47","Asialepidotus","Ladinian","Ladinian",68.8726796731055,0.500052650666669,0.389091317000001,1,"Ladinian","background","Chordata","Actinopteri","Ionoscopiformes",NA
"48","Asklepioceras","Ladinian","Carnian",6062.232435112,14.4707462941429,60.3265594865714,0,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Trachyceratidae"
"49","Asoella","Ladinian","Pliensbachian",10582.0441676494,15.46532450675,108.10775005725,0,"Ladinian","background","Mollusca","Bivalvia","Pectinida","Hunanopectinidae"
"50","Aspidogaster","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Arthropoda","Malacostraca","Decapoda",NA
"51","Aspiduriella","Ladinian","Rhaetian",1838.53575635573,14.8938279239121,8.93103878472527,0,"Ladinian","background","Echinodermata","Ophiuroidea","Ophiurida","Ophiuridae"
"52","Astartopis","Ladinian","Carnian",4.72345210241343,0.00551309000000089,0.0438976999999987,0,"Ladinian","background","Mollusca","Bivalvia","Veneroidei",NA
"53","Astraeomorpha","Ladinian","Rhaetian",NA,NA,NA,0,"Ladinian","background","Cnidaria","Anthozoa","Scleractinia","Astraeomorphidae"
"54","Astralium","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Mollusca","Gastropoda",NA,"Turbinidae"
"55","Ataxotrochus","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Mollusca","Gastropoda",NA,"Coelostylinidae"
"56","Athyris","Ladinian","Carnian",232.327789314423,1.68135779882979,6.39937177021277,0,"Ladinian","background","Brachiopoda","Rhynchonellata","Athyridida","Athyrididae"
